,date,vendor,amount,category,notes
389,2022-11-15,Narikka,"4,50",7,
390,2022-11-15,Aleksi,"7,00",7,
391,2022-11-15,Kalle,"5,00",9,
392,2022-11-15,Rummut,"700,00",22,
393,2022-11-16,Matkahuolto,"9,80",9,
394,2022-11-16,Nysse,"2,00",9,
395,2022-11-16,School,"3,20",2,
396,2022-11-17,Tier,"3,90",21,
397,2022-11-17,Prisma Kaleva,"2,25",7,
398,2022-11-17,Isabel,"3,50",17,
399,2022-11-17,Canadem,"11,00",18,
400,2022-11-18,School,"3,20",2,
401,2022-11-18,Tre,"15,00",18,
402,2022-11-18,Nysse,"2,00",9,
403,2022-11-18,Hesburger,"7,90",7,
404,2022-11-18,Treanglo,"5,50",7,
405,2022-11-21,Tier,"0,80",21,
406,2022-11-21,RantaPoro,"18,90",7,
407,2022-11-21,RantaPoro,"3,90",7,
408,2022-11-21,Selvi,"13,50",7,
409,2022-11-21,Prisma Lielahti,"8,25",7,
410,2022-11-21,Tier,"1,00",21,
411,2022-11-21,Narikka,"3,00",7,
412,2022-11-21,K-Market Kaleva,"3,00",11,
413,2022-11-21,K-supermarket hämeenkatu,"4,25",7,
414,2022-11-21,K-Market Kaleva,"17,53",1,
415,2022-11-21,Prisma Lielahti,"3,29",7,
416,2022-11-21,Tier,"1,57",21,
417,2022-11-21,Bricks,"14,00",7,
418,2022-11-21,Tampereen seutu,"10,00",9,
419,2022-11-21,Lidl,"4,24",7,
420,2022-11-21,School,"3,20",2,
421,2022-11-21,VR,"18,00",9,
